# Devs versus Builders

| Time | Subtitle |
| 37:06 | where you get a permanent profit share for it |
| 37:11 | and the ecosystem would get a chunk of the action. |
| 37:16 | It's like when I proposed the sovereign wealth fund at 83 cent ADA, we done a |
| 37:20 | hundred million, we'd be at 400 million in value right now. Four times as much |
| 37:26 | ADA, right? Ah, it's just it's stupidity. And I get |
| 37:32 | it. You know, you don't you don't want to screw up, but inaction kills you in |
| 37:36 | these types of things, guys. You have to pivot. I can't do anything about the |
| 37:42 | garbage foundation. I just can't. I'm sorry about Cardano. It's my greatest |
| 37:47 | mistake. And it's just a classic example of where people who have no incentives |
| 37:53 | do nothing and they just make up work and they go around. The reality is ADA |
| 37:57 | goes to the moon, they make the same amount of money. If ADA collapses, they |
| 38:01 | make the same amount of money. They're hedged in Bitcoin, too. Uh, and there's |
| 38:05 | nobody who can be voted out of office. The board is still the board. There's no |
| 38:10 | democracy. There's no oversight. There's no way to replace them. So, nobody's |
| 38:14 | there to hold them accountable when they're so petty they can't tweet about |
| 38:17 | the largest project on the chain whose success would really push the chain |
| 38:22 | forward. That's sad. We'll succeed despite it. Bitcoin didn't need the |
| 38:27 | Bitcoin Foundation. In fact, people hated the Bitcoin Foundation. I remember |
| 38:31 | I was there and uh we were not wellliked the Bitcoin Foundation. They said that |
| 38:36 | was a hostile takeover of Bitcoin from the time it was created to basically |
| 38:40 | when it went defunct to now like trillions of dollars of value were |
| 38:44 | created despite it. So, we don't need them. We have what we need, but the |
| 38:48 | philosophy has to be simple. Focus on the outcome and focus on what you're |
| 38:54 | doing to change people's lives. And why and the things that we truly are good at |
| 38:58 | in our competitive differentiation. Why is Pogun on Cardano? Because it makes |
| 39:03 | sense. Not because Charles Hoskinson said so, but it makes sense. UTXO |
| 39:08 | system, UTXO system. It's a beautiful mirroring and you get huge economies of |
| 39:12 | scale and lowcost operation as evidenced by the fact that we went from a |
| 39:17 | transaction costing $15,000 to under $30. So, we went from a Toyota |
| 39:24 | Camry to a steak dinner and we're going to try |
| 39:28 | to get it down to three to five bucks. So, a cup of coffee at Starbucks. How |
| 39:32 | about that? That's real. And that enables massive changes. You have the |
| 39:37 | security of the Bitcoin network mirrored into Cardano. |
| 39:41 | Cardano adding a DeFi layer to it. And then you can build a large ecosystem. |
| 39:46 | And by the way, if you add Midnight or private transactions and you can |
| 39:50 | orchestrate all of them throughout the rest of the cryptocurrency space and we |
| 39:53 | gradually drag these products that live on Hyperliquid and drag these products |
| 39:57 | that live on Solana and Ethereum into our orbit because it's real expensive to |
| 40:02 | get them to migrate and it solves our stable coin issuance and it solves our |
| 40:05 | TVL issue. That one product, RealFi, launching next month. Bank the unbanked, |
| 40:12 | that's the Africa play. We've been working at it for a long long time. We |
| 40:15 | finally figured out a route to make it happen. It's here. Again, no tweets. |
| 40:22 | So, you need to tweet it. You need to push it. If you believe in Cardano, |
| 40:25 | that's what we mean. We're commercializing. We got a privacy play |
| 40:28 | with Midnight. We got a micro finance play with RealFi. We got a Bitcoin DeFi |
| 40:33 | play with Pogun. These are not hypothetical things. These are real |
| 40:36 | things that are launching on Cardano or have already launched on Cardano. And |
| 40:40 | they bring people in. They bring new blood in, new ideas in, new spotlight |
| 40:44 | in. That's what you need to do. And you have to accelerate them. And their |
| 40:48 | success is Cardano's success. And you know what? Every one of those things, |
| 40:53 | they fund all the things around them. Sundae works on them. Anastasia works on |
| 40:59 | them. There's so many of these small dev boutiques that are in the Cardano |
| 41:03 | ecosystem that get money to work on those programs and projects. It keeps |
| 41:09 | them alive, allows them to pay the bills and keep going. |
| 41:13 | That's what success means. Is it easy out there? No. But Jesus, |
| 41:19 | nothing is easy right now. You got frontier AI labs that are legitimately |
| 41:24 | wondering if the artificial intelligence is they're building is going to kill |
| 41:28 | them in 24 months to 36 months. You got war with Iran. You got $5 gasoline. You |
| 41:33 | got still war in Ukraine and Russia. There's an upcoming war with China and |
| 41:37 | the United States over Taiwan. We're going to have a chip crisis in 36 months |
| 41:42 | that's going to be unbelievable and push us into a depression. There's the AI |
| 41:45 | bubble will eventually burst. It's hard to buy groceries. |
| 41:50 | We're not immune to all of that, the cryptocurrency space. And you know, we |
| 41:54 | got over our skis. You can't charge a million and a half |
| 41:58 | dollars for a goddamn NFT picture of a [ \_\_ ] banana |
| 42:03 | and expect that to be sustainable and stable in this ecosystem. You can't have |
| 42:09 | memecoin mania and things that have no utility and value go to 10 billion and |
| 42:14 | then expect that to be sustainable. You can't. So, we're living that excess and |
| 42:20 | we're living the consequences of it as an industry. We got to process it. |
| 42:26 | If you go crazy and you end up getting divorced, you got |
| 42:31 | to put your life back together. Okay, you got to move out into the |
| 42:36 | shitty apartment. You got to get new friends. You got to change a few things. |
| 42:42 | Yeah, you'll be back if you really put some time and effort into it. Well, |
| 42:46 | guess what? Crypto got divorced by retail. That's a fact. They left out of |
| 42:52 | disgust because they all lost their money. |
| 42:55 | They were lied to. They were hacked. And every time they tried to come back, they |
| 42:58 | got lied to and hacked and extracted from again. |
| 43:03 | Were the dumping ground of narcissistic whack jobs to come in and put their |
| 43:09 | [ \_\_ ] trash and expect to extract. Celebrities come in. Portnoy comes in. I |
| 43:15 | thought I was going to make so much money. I don't understand. Most |
| 43:19 | recently, Hunter Biden and he's I launched my my laptop coin. I mean, I |
| 43:24 | just thought it was going to the moon. Why? |
| 43:28 | Midnight fixes stuff. Midnight solves the CAC card system at the Pentagon. |
| 43:35 | Midnight solves sharing of health care records. Midnight solves you owning your |
| 43:40 | own agent and not having uh the agent steal your intellectual property. And |
| 43:45 | then Navier Stokes is solved by OpenAI, not the mathematician who actually came |
| 43:49 | up with it. Midnight |
| 43:53 | enables DRM. Midnight enables intellectual property royalties without |
| 43:58 | having to reveal the spending. Midnight enables private trading strategies to be |
| 44:02 | leased or AI skills to be leased instead of just open source so you can start |
| 44:05 | monetizing unique agent skills. It goes on and on and on and on and on. These |
| 44:10 | are real things influencing the lives of billions of people and collectively |
| 44:14 | trillions of dollars of commerce on a daily basis. What does laptop solve for |
| 44:20 | the world other than make Hunter Biden some money so he can have a vanity |
| 44:25 | presidential run in 2028 and the Biden family grift can continue? |
| 44:30 | What does it solve? Nothing. You got to focus on solving things. |
| 44:35 | Bitcoin DeFi solves a problem. I don't want to sell my Bitcoin, but I'd like to |
| 44:40 | get a return. I can't get a return on Bitcoin. There's no DeFi ecosystem. I |
| 44:46 | want to click the button automagically according to a risk profile |
| 44:51 | my Bitcoin's put to work and I get 5 10% whatever |
| 44:56 | simple problem to solve you solve it $500 billion worth of Bitcoin migrate |
| 45:00 | out to do that what are your options zero or 5%. |
| 45:06 | Duh. People can click the button. 71% of you did with ADA staking. Click it. |
| 45:12 | That's Bitcoin. Okay. So, Pogun solves the problem. Micro finance. We'd like to |
| 45:18 | bank the unbanked. You get this use case. I get this use case. Let's create |
| 45:22 | an engine where you have loans. And guess what? They get a discount on the |
| 45:27 | loan if they get a digital ID and a wallet. |
| 45:31 | Pretty simple, right? So, are they getting a digital ID in a wallet because |
| 45:35 | they just want to? No, they want a lower lending rate. Now, they're banked in a |
| 45:41 | new banking system that's web 3 native with a self-s sovereign identity and |
| 45:44 | self-custody and their own assets, not the governmentisssued one. We've just |
| 45:49 | created a new economy and we can use this engine to distribute |
| 45:54 | it to tens of millions to hundreds of millions of people. And what does that |
| 45:57 | mean? The lending rates go down from 85% to less than 10%. the re the rem |
| 46:02 | remittance rates go free and you get rid of these evil cartels |
| 46:08 | that extract money from the poorest people in the world. That's a real life |
| 46:12 | use case and utility. That's what blockchain was constructed for. |
| 46:17 | Not LAPTOP, not Trumpcoin. Absolutely not those things. We got |
| 46:24 | addicted to the fast and soft money and vanity of celebrity and meme coins and |
| 46:29 | these other things. And guess what happened? We lost our way. And it became |
| 46:34 | so easy for people to shed all over the industry. |
| 46:38 | And because of that, CLARITY will not pass two days from now. |
| 46:42 | Been saying it for over a year. And because of that, people write off |
| 46:48 | crypto. So only retail. It's gone. So then the institutions come in and then |
| 46:53 | we're all surprised why they're not pumping our bag. Because they're not |
| 46:56 | stupid. They pump their own bags. They're institutions. They're really |
| 47:00 | smart and they're killers and they have |
| 47:03 | amazing people with them. So, if we want to win, we got to change the game. We |
| 47:07 | got to pivot from devs to builders. We got to rally. |
| 47:11 | We have to support each other. And we have to realize my success is your |
| 47:15 | success. The success of Midnight is the success |
| 47:19 | of Cardano. And we have to hold the entities that |
| 47:23 | refuse to acknowledge that accountable by not funding them anymore and not |
| 47:28 | considering them relevant anymore. They're running on bad programming. |
| 47:32 | Honestly speaking, they need to change. If they're unwilling to change, then |
| 47:36 | they shouldn't be part of the club. We don't have time to drag people along who |
| 47:43 | don't want to be there. And we don't have time anymore and the luxury anymore |
| 47:48 | to admit 45 different ways of doing things. |
| 47:51 | We need to consolidate down to a collection of them and simplify the |
| 47:55 | goddamn experience so that all the users they just click the button. |
| 48:02 | That's what the world has shown us with web two and the rise of all these |
| 48:06 | entities. Click the button. It just works. |
| 48:10 | Apple spent 20 years trying to break up the Windows monopoly, |
| 48:16 | trying to convince people that macOS is much better than Windows. Buy a MacBook, |
| 48:22 | buy an iMac. And you know what? If you look at the percentage distribution of |
| 48:27 | Windows versus Mac, it didn't move. Then they built the iPhone and it was just |
| 48:32 | push the button and it destroyed the entire Windows monopoly and made Apple |
| 48:38 | as big or bigger than Microsoft. [snorts] |
| 48:44 | It's just one paradigm shift. Stop grading people to migrate. Give them a |
| 48:48 | new experience and make it so simple and easy that the old experience seems |
| 48:52 | antiquated. And now you find that you spend the majority of your time on your |
| 48:57 | phone, much more so than on your laptop or your computer. The majority of your |
| 49:02 | time, even when you're on your laptop and your computer, your phone is always |
| 49:06 | still there. It's always still around. It's haunting you. Message comes, you're |
| 49:11 | just about to finish something. Oh, I got to answer this message on my my |
| 49:14 | phone. Why? Because it's so easy. It's there. |
| 49:19 | It just It's just buttons. If you just push them, you just click it. It's Oh my |
| 49:24 | god, now I can do anything. And vast majority of you people |
| 49:30 | listening, you you read your phone on the toilet. You do. |
| 49:34 | How many of you take a laptop in with you to the bathroom? Some people |
| 49:40 | developers, coders, |
| 49:44 | okay, but the vast majority of sane people typically don't take one in, but |
| 49:47 | they do with the phone. You know who you are. |
| 49:51 | because the simplicity is so much. It's an extension of you. It's part of your |
| 49:56 | body now, like your hand or your ears or these types of things. So, if Cardano is |
| 50:01 | to win, Midnight's to win. That's the play. Make it an extension of you. Make |
| 50:06 | it an extension of your body. Make it that simple and that easy. You |
| 50:11 | just click the button and that's it. Bitcoin DeFi, click the toggle, get 5%. |
| 50:16 | RealFi, click the toggle, get this thing. Midnight. Hey agent, I need this. Don窶冲 |
| 50:22 | worry, I got you, dog. Under the hood, 14 different [ \_\_ ] transactions and |
| 50:28 | intents and multi-chain signatures and trusted execution environments and |
| 50:32 | multi-party computation and and and ZK, lots of ZK, a little bit of Groth16 and |
| 50:39 | [ \_\_ ] Halo 2 and PLONK and and [ \_\_ ] we窶决e doing like four different foreign |
| 50:44 | field arithmetics. We got like one elliptic curve over here and another |
| 50:48 | elliptic curve and oh out in the left field we got lattises. Lattises are |
| 50:52 | coming. AH, YOU DON'T see that [ \_\_ ] You don't know about that [ \_\_ ] You don't |
| 50:58 | care about that [ \_\_ ] any more so than you have manually inspected a packet in |
| 51:04 | TCP IP. Look at those datagramgrams. Last time you've done deep packet |
| 51:08 | inspection. I know who you are, Kie. |
| 51:14 | Okay. WireGuard people. No, Wireshark. You know, you don窶冲 do that. No, |
| 51:21 | normie does that. They just push the [ \_\_ ] button. The internet's slow |
| 51:25 | today. Oh well, I'll change Wi-Fi networks. I'll just wait a little bit. |
| 51:30 | See if it speeds up. That's your thing. That's your experience. And that's why |
| 51:34 | five billion people do it. If you had to inspect the patent packet, you'd be the |
| 51:38 | PGP people. I started this by asking, "How many of you encrypt an email with |
| 51:44 | PGP?" You don't because it's hard. You got keys and [ \_\_ ] It's hard. It's |
| 51:51 | too much for the consumer to do that. Too much. So, if Midnight is to win, |
| 51:57 | simple. If Midnight is to win builders, if Midnight is to win, one click. If |
| 52:03 | Midnight is to win, everyone everywhere where they're actually at, not where we |
| 52:08 | want them to be. That's the strategy. And we wake up |
| 52:13 | every day and we say, "How do we make it magical? |
| 52:18 | How do we make the small things big things?" |
| 52:22 | I have a Galaxy uh Fold 8. It's a great phone. And I just saw the presentation |
| 52:30 | for the iPhone. in one feature makes me want the iPhone |
| 52:36 | Duo more than the Fold 8. It's when you open it up and how it just like |
| 52:42 | gradually transitions. It looks like you're looking through a pane of glass |
| 52:46 | as you switch from the one screen to the two screens. And that idea of the |
| 52:49 | rounded bevels to make it look like an iPad mini. I used to have an iPad mini. |
| 52:54 | I have very treasured memories of holding it just like that. I said, "Oh, |
| 52:57 | that's just exactly like that." That was not a fiveminute discussion. That's the |
| 53:02 | product of thousands of hours of attention to detail and focus to create |
| 53:08 | that one little experience, that one little softening across it. And that is |
| 53:14 | what makes the difference. The consumer doesn't see it, ask for it, or even know |
| 53:19 | it's there, but they feel it emotionally and subconsciously, and they connect to |
| 53:25 | it. It窶冱 what we窶决e doing in Midnight City. It窶冱 what we窶决e doing in RealFi. |
| 53:29 | It窶冱 what we窶决e doing in Pogun. What we窶决e doing in Midnight and it窶冱 |
| 53:32 | what we do with the engineering that we put into Cardano. |
| 53:37 | We haven't always measured up. We had to learn how to be a great engineering |
| 53:40 | company and we had to learn how to do all this stuff. It's not [ \_\_ ] easy. |
| 53:45 | Apple had to learn how to do it, too. Were they building the iPhone Duo in |
| 53:50 | 1995? |
| 53:54 | No, [snorts] not even close. And we're we were not building these types of |
| 54:01 | things 5 years ago or 10 years ago, but we are now and we put the effort in. So |
| 54:06 | big pivot to builders. And as for the rest of the ecosystem, let the drama go, |
| 54:13 | let the passion go and pivot to something new and different. Do you want |
| 54:18 | to win? Do you want to be great? Do you want to be something that people |
| 54:24 | talk about in 20 years and 30 years? Do you want to be something people |
| 54:27 | emotionally connect to and believe in? Or do you want to fail? If you want to |
| 54:32 | fail, then go be a keyboard warrior and complain about every single thing. If |
| 54:37 | you want to win, grab a shovel. We need workers. We need to get this done. Be a |
| 54:42 | builder. Build stuff. Join the Nightforce. Create an account on Midnight |
| 54:47 | City. Sign up for the Pogun beta. Sign up for |
| 54:52 | the RealFi testnet. Get involved. talk about these things. Get people excited |
| 54:58 | about these things. When they say Cardano is dead, give them these |
| 55:01 | projects and show them we got all this amazing stuff happening. Look at all |
| 55:06 | these things. Say, we're back in the game. We've changed and we are learning. |
| 55:11 | We're growing. That's how you win. Be an advocate. And they say, "I had no idea |
| 55:16 | there was still something worthwhile there. That seems like it's undervalued. |
| 55:19 | I should do something in that ecosystem. Get people excited about it." That's |
| 55:24 | what I'm doing on a Sunday [clears throat] at 12:15. So, I'm going |
| 55:28 | to get back to work. I hope you do, too. Thanks everyone for listening. Cheers. |
